ds,NO2,SO2,PM2.5,PM10
2025-07-04 05:45:00,55.71117444376348,13.01626616683561,33.351446472179916,91.90684163238565
2025-07-04 11:45:00,51.58980058141229,16.945178795149207,30.962903938819867,90.19143110677462
2025-07-04 17:45:00,57.21583149931568,18.091836596225765,28.289748850956617,92.89429172582798
2025-07-04 23:45:00,58.80050015683546,14.829390435159882,27.445957326208905,87.50283009136125
2025-07-05 05:45:00,59.837060575334775,13.761163087644793,33.313383921801815,91.69408198620287
2025-07-05 11:45:00,54.23005308720671,17.49705283195153,29.906140114902943,84.4009602230864
2025-07-05 17:45:00,56.9352951659516,18.115140774831264,25.948093320467354,80.71282506742524
2025-07-05 23:45:00,55.778239923580884,14.23480811162042,23.91766627687262,70.3275864141611
2025-07-06 05:45:00,55.66008027284502,12.773986142206814,29.130457695250186,72.97542313715024
2025-07-06 11:45:00,51.037285302732265,16.586629716698347,25.913155812893052,68.54775842757618
2025-07-06 17:45:00,56.32312202930723,17.81054686425746,23.023204955426145,71.4681477843888
2025-07-06 23:45:00,57.98179472527091,14.902622293626846,22.642328022459786,69.27824008879492
