ds,NO2,SO2,PM25,PM10
2025-02-19 01:45:00,35.91290084554106,19.648120422478268,37.37480227042805,101.51866525135003
2025-02-19 02:00:00,36.17439083525612,19.563924371451318,37.578537088844094,102.03440521687486
2025-02-19 02:15:00,36.44876356350621,19.536073460998125,37.78376218329144,102.46429765527517
2025-02-19 02:30:00,36.72462810178004,19.561328755300202,37.988249654797265,102.78999216059421
2025-02-19 02:45:00,36.99462943542679,19.632979273880295,38.1930698725619,103.00921317595011
2025-02-19 03:00:00,37.255540389821896,19.741230879574406,38.402336290208744,103.1349739089048
2025-02-19 03:15:00,37.50801521464496,19.873833640099765,38.62269368533846,103.19366754832639
2025-02-19 03:30:00,37.75603920693508,20.016907389074774,38.86259043932294,103.22220336171029
2025-02-19 03:45:00,38.0061291880464,20.15591016578896,39.13139067009256,103.26441797878155
2025-02-19 04:00:00,38.266355739222696,20.276682898677826,39.43839323676918,103.36703796434256
2025-02-19 04:15:00,38.54526882681775,20.36649695239127,39.79183110162941,103.57549574541456
2025-02-19 04:30:00,38.85081313683374,20.415029502344055,40.19792582307039,103.92990553476477
2025-02-19 04:45:00,39.18931789803685,20.415195313074655,40.66006800788606,104.4614890608681
2025-02-19 05:00:00,39.564638402707175,20.363772185078666,41.17818565641516,105.18970409714474
2025-02-19 05:30:00,40.42518576911916,20.114514573087064,42.36264482203702,107.24425542059525
2025-02-19 05:45:00,40.90131138777828,19.9314215607581,43.0093309386908,108.53818400595482
2025-02-19 06:00:00,41.39616318902509,19.72548708775598,43.67326874701935,109.96530269812067
2025-02-19 06:15:00,41.89711023137453,19.512503774135737,44.33660370551017,111.47774680057408
2025-02-19 06:30:00,42.38933528510027,19.310060488745552,44.97965308905308,113.01953517494783
2025-02-19 06:45:00,42.856734984198866,19.13638475530214,45.581942340042396,114.53013954112515
2025-02-19 07:00:00,43.28293404144962,19.00910308474254,46.123321800722884,115.94837078339182
2025-02-19 07:15:00,43.652337001256576,18.944001011562456,46.58508969801674,117.21630023348682
2025-02-19 07:30:00,43.951138750523604,18.953866245543537,46.95104655103265,118.28293404157978
2025-02-19 07:45:00,44.16821859553036,19.04749436887107,47.2084106577564,119.10737913436215
2025-02-19 08:00:00,44.29585183682708,19.22892713373512,47.34853364467665,119.66127827845509
2025-02-19 08:15:00,44.33018674216535,19.496979209046067,47.36736859424469,119.93034654480806
2025-02-19 08:30:00,44.27145259038697,19.845091089941896,47.26566006166309,119.91490802015639
2025-02-19 08:45:00,44.12388473750003,20.26152500126814,47.04884419845935,119.62940516418112
2025-02-19 09:00:00,43.89537393471623,20.729898349519235,46.7266668943104,119.10092841983479
